;通用表格檔

' 、 ． ‧ 丶 ＂ ＇ ·
'' “ 〝
''' ” 〞 ＂
'ac 🇦🇨
.daa ㏠ ㏡ ㏢ ㏣ ㏤ ㏥ ㏦ ㏧ ㏨ ㏩ ㏪ ㏫ ㏬ ㏭ ㏮
.dab ㏯ ㏰ ㏱ ㏲ ㏳ ㏴ ㏵ ㏶ ㏷ ㏸ ㏹ ㏺ ㏻ ㏼ ㏽ ㏾
.dic ⚀ ⚁ ⚂ ⚃ ⚄ ⚅
.doa $ ￥ ₩ ￡ € ￠ ¥ ₽ ₮ ฿ ৲ ৳ ௹ ៛ ₠ ₢ ₣ ₤
.dob ₥ ₦ ₧ ₨ ₪ ₫ ₭ ₯ ₰ ₲ ₳ ₴ ﷼ ¢ ¤ ƒ
.e ―
.ee ―
.gua ☰ ☱ ☲ ☳ ☴ ☵ ☶ ☷
.hua ✿ ❀ ❁ ❂ ❃ ❇ ❈ ❉ ❋ ✻ ✼ ✤ ✽ ✾ 🏵
.mon ㋀ ㋁ ㋂ ㋃ ㋄ ㋅ ㋆ ㋇ ㋈ ㋉ ㋊ ㋋
.mp 彡
.muz ♩ ♪ ♫ ♬ ♭ ♮ ♯ ø $ Ψ ¥ ∮ § € ¶ ‖ ⌒
.noa ⁰ ¹ ² ³ ⁴ ⁵ ⁶ ⁷ ⁸ ⁹
.nob ₀ ₁ ₂ ₃ ₄ ₅ ₆ ₇ ₈ ₉
.oq ⓠ
.pen ✎ ✏ ✐ ✑ ✒ 🖋 🖊 🖌 🖍
.pok ♣ ♦ ♥ ♠ ♧ ♢ ♡ ♤
.qo ？ ¿ ⁇ ⁉ ⁈ ‽ ⸘
.rec ♳ ♴ ♵ ♶ ♷ ♸ ♹ ♺ ♲ ♻ ♼ ♽
.rel ☯ ✚ ✝ ✞ ✟ ☪ ☦ ☧ ☨ ☩ ☫ ☬ ☮ ☭ ☸ ✠ ☠ 卍 卐
.tia ㍙ ㍚ ㍛ ㍜ ㍝ ㍞ ㍟ ㍠ ㍡ ㍢ ㍣ ㍤
.tib ㍥ ㍦ ㍧ ㍨ ㍩ ㍪ ㍫ ㍬ ㍭ ㍮ ㍯ ㍰
.tic ㍘ ㏂ ㏘ ⌛ ⏳ ⌚ ⏰ ⏱ 🕰 ⏲
.v ・
.wea ☀ ☁ ☂ ϟ ♨ ❄ ❅ ❆ ☃ 🌤 🌥 🌦 🌧 🌩 🌪 🌫 🌀 🌈 💧 🔥
.zod ♓ ♒ ♑ ♐ ♏ ♎ ♍ ♌ ♋ ♊ ♉ ♈
[ 「 （ ﹁ ﹃ 【 ︻ ︵ 〈 ⏜ ⏞ (
[[ 『 ﹃ 【 ︻ 《 ︽ « ⋒ ⋐
[[v ﹃ ︻ ︽
[v （ ﹁ ︻ ︹ ︷ ︽ ︿ ︵ ∧
[vv ﹁
] 」 ） ﹂ ﹄ 】 ︼ ︶ 〉 ⏝ ⏟ )
]] 』 ﹄ 】 ︼ 》 ︾ » ⋓ ⋑
]]v ﹄ ︼ ︾
]v ） ﹂ ︼ ︺ ︸ ︾ ﹀ ︶ ∨
]vv ﹂
c. ！
s. ？
v. ！
v[ ﹁ ⅸ
v[[ ﹃
v] ﹂ ⅹ
v]] ﹄
vv 、 丶
